"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1162","test_group_list","test","Tue Nov 12 18:28:00 CET 2024","failed","Tue Nov 12 18:28:01 CET 2024","","test_db_matches_ui","",""
"","1369","test_modify_some_group[None:name3:header3:footer3]","test","Tue Nov 12 18:28:12 CET 2024","passed","Tue Nov 12 18:28:13 CET 2024","","test_modify_group","",""
"","1267","test_modify_some_contact[None:None:lastname2:firstname12:None:None:None:None:None:None:None]","test","Tue Nov 12 18:28:08 CET 2024","passed","Tue Nov 12 18:28:09 CET 2024","","test_modify_contact","",""
"","1432","test_modify_some_group[None:name1:header1:footer1]","test","Tue Nov 12 18:28:09 CET 2024","passed","Tue Nov 12 18:28:10 CET 2024","","test_modify_group","",""
"","1249","test_add_group[None:name2:header2:footer2]","test","Tue Nov 12 18:27:53 CET 2024","passed","Tue Nov 12 18:27:54 CET 2024","","test_add_group","",""
"","681","test_delete_some_group","test","Tue Nov 12 18:28:07 CET 2024","passed","Tue Nov 12 18:28:07 CET 2024","","test_del_group","",""
"","752","test_delete_some_contact","test","Tue Nov 12 18:28:01 CET 2024","passed","Tue Nov 12 18:28:02 CET 2024","","test_del_contact","",""
"","2907","test_all_info_on_home_page","test","Tue Nov 12 18:27:55 CET 2024","failed","Tue Nov 12 18:27:58 CET 2024","","test_contact_info","",""
"","1139","test_add_group[None:name3:header3:footer3]","test","Tue Nov 12 18:27:54 CET 2024","passed","Tue Nov 12 18:27:55 CET 2024","","test_add_group","",""
"","1204","test_add_group[None:name1:header1:footer1]","test","Tue Nov 12 18:27:52 CET 2024","passed","Tue Nov 12 18:27:53 CET 2024","","test_add_group","",""
"","1353","test_modify_some_group[None:name2:header2:footer2]","test","Tue Nov 12 18:28:10 CET 2024","passed","Tue Nov 12 18:28:12 CET 2024","","test_modify_group","",""
"","2005","test_add_random_contact_to_random_group","test","Tue Nov 12 18:27:49 CET 2024","passed","Tue Nov 12 18:27:51 CET 2024","","test_add_contact_to_group","",""
"","3902","test_delete_contact_in_group","test","Tue Nov 12 18:28:02 CET 2024","passed","Tue Nov 12 18:28:06 CET 2024","","test_del_contact_from_group","",""
"","1374","test_add_contact[None:None:lastname2:firstname12:None:None:None:None:None:None:None]","test","Tue Nov 12 18:27:46 CET 2024","passed","Tue Nov 12 18:27:48 CET 2024","","test_add_contact","",""
